,uuid,name,dob,sex,job_id,num_course_taken,current_career_path_id,time_spent_hrs,age,age_group,email,street,city,state,zip_code,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
0,1,Annabelle Avery,1943-07-03,F,7,6.0,1,4.99,79.0,70,annabelle_avery9376@woohoo.com,303 N Timber Key, Irondale, Wisconsin, 84736,1,data scientist,20,HR,80000
1,2,Micah Rubio,1991-02-07,M,7,5.0,8,4.4,32.0,30,rubio6772@hmail.com,767 Crescent Fair, Shoals, Indiana, 37439,8,android developer,27,HR,80000
2,3,Hosea Dale,1989-12-07,M,7,8.0,8,6.74,33.0,30,hosea_dale8084@coldmail.com,P.O. Box 41269, St. Bonaventure, Virginia, 83637,8,android developer,27,HR,80000
3,4,Mariann Kirk,1988-07-31,F,6,7.0,9,12.31,34.0,30,kirk4005@hmail.com,517 SE Wintergreen Isle, Lane, Arkansas, 82242,9,machine learning engineer,35,education,61000
4,5,Lucio Alexander,1963-08-31,M,7,14.0,3,5.64,59.0,50,alexander9810@hmail.com,18 Cinder Cliff, Doyles borough, Rhode Island, 73737,3,data analyst,12,HR,80000
5,6,Shavonda Mcmahon,1989-10-15,F,6,10.0,3,10.12,33.0,30,shavonda5863@coldmail.com,P.O. Box 81591, Tarpon Springs, Montana, 37057,3,data analyst,12,education,61000
6,7,Terrell Bleijenberg,1959-05-05,M,2,9.0,8,24.17,64.0,60,bleijenberg188@hmail.com,P.O. Box 53471, Oskaloosa, Virginia, 85274,8,android developer,27,engineer,101000
7,8,Stanford Allan,1997-11-22,M,3,3.0,1,19.54,25.0,20,stanford_allan8055@coldmail.com,255 Spring Avenue, Point Baker, Texas, 15796,1,data scientist,20,software developer,110000
8,9,Tricia Delacruz,1961-10-20,F,1,6.0,9,1.75,61.0,60,tricia_delacruz6622@woohoo.com,997 Dewy Apple, Lake Lindsey, Washington, 78266,9,machine learning engineer,35,analytics,86000
9,10,Regenia van der Helm,1999-02-23,N,5,7.0,6,13.55,24.0,20,regenia6908@inlook.com,220 Middle Ridge, Falcon Heights, New Mexico, 46971,6,frontend engineer,20,financial services,135000
10,11,Shonda Stephanin,1998-10-24,F,7,5.0,10,12.61,24.0,20,shonda_stephanin4439@coldmail.com,818 Clear Street, Rockwood, Maine, 14372,10,ux/ui designer,15,HR,80000
11,12,Marcus Mcfarland,1977-05-29,M,7,3.0,6,9.12,45.0,40,mcfarland1396@woohoo.com,718 Embers Lane, Dale, South Carolina, 19186,6,frontend engineer,20,HR,80000
12,13,Edwardo Boonzayer,1975-05-23,N,2,15.0,5,6.09,47.0,40,edwardo8281@inlook.com,147 SW Plain, Solana Beach, Kansas, 01794,5,backend engineer,18,engineer,101000
13,14,Robena Padilla,1969-01-15,F,3,5.0,9,15.92,54.0,50,robena_padilla1477@hmail.com,P.O. Box 73926, McLemoresville, Maryland, 57372,9,machine learning engineer,35,software developer,110000
14,15,Tamala Sears,1942-06-01,F,7,13.0,1,4.64,80.0,80,tamala4408@woohoo.com,868 Hazy Crossing, Bethania, Washington, 08205,1,data scientist,20,HR,80000
15,16,Norene Dalton,1976-04-30,F,6,0.0,0,0.0,47.0,40,norene_dalton9509@hmail.com,130 Wishing Essex, Branch, Ohio, 13616,0,none,0,education,61000
16,17,Maris Benskoop,1965-08-10,F,5,5.0,4,12.08,57.0,50,maris5817@hmail.com,P.O. Box 93831, South Mountain, Washington, 02481,4,software engineering,25,financial services,135000
17,18,Yolande van Hees,1978-12-09,F,7,13.0,9,34.44,44.0,40,vanhees6330@woohoo.com,460 Dusty Kennedy Cove, McBaine, New Jersey, 41490,9,machine learning engineer,35,HR,80000
18,19,Dominic Werner,1973-09-29,M,5,14.0,8,22.84,49.0,40,werner3867@coldmail.com,P.O. Box 70430, Laramie, Nevada, 56963,8,android developer,27,financial services,135000
19,20,Sofia van Steenbergen,1990-02-21,N,7,13.0,0,0.0,33.0,30,vansteenbergen8482@inlook.com,634 Clear Barn Dell, Beaman, Georgia, 33288,0,none,0,HR,80000
20,21,Toney Villarreal,1993-06-04,M,4,4.0,3,4.3,29.0,20,villarreal2146@woohoo.com,P.O. Box 22286, Leisure Village, South Carolina, 22326,3,data analyst,12,creative,66000
21,22,Clayton Lamb,1963-02-02,M,2,8.0,6,2.86,60.0,60,lamb2933@woohoo.com,601 Old Oak Village, Binger, Connecticut, 29228,6,frontend engineer,20,engineer,101000
22,23,Isabel van Erven,1973-06-11,F,6,9.0,5,7.02,49.0,40,isabel9601@coldmail.com,863 Seventh Boulevard, Marianna, Indiana, 01611,5,backend engineer,18,education,61000
23,24,Eartha Weeks,1954-12-05,F,7,2.0,1,9.86,68.0,60,eartha_weeks7248@hmail.com,192 Cedar Vale, Hersey village, Illinois, 68184,1,data scientist,20,HR,80000
24,25,Eloy Limmink,1998-01-07,M,3,10.0,3,10.24,25.0,20,eloy_limmink6109@coldmail.com,103 Sunny Rapid Parade, Marshfield, Delaware, 13122,3,data analyst,12,software developer,110000
25,28,Lexie Rowland,1942-08-30,F,4,14.0,3,8.74,80.0,80,rowland6740@hmail.com,33 High Cider Skyway, Inglewood, Mississippi, 22019,3,data analyst,12,creative,66000
26,29,Edgardo Chavez,1946-02-12,M,7,12.0,5,12.98,77.0,70,edgardo9341@woohoo.com,758 Green Butterfly Gateway, Crescentvillage, Maine, 81750,5,backend engineer,18,HR,80000
27,30,Bettyann Klarenbos,1950-11-05,F,1,9.0,9,21.45,72.0,70,bettyann_klarenbos7887@coldmail.com,838 Horse Dam, Westmorland, Alabama, 31955,9,machine learning engineer,35,analytics,86000
28,31,Christoper Warner,1989-12-28,M,2,5.0,0,0.0,33.0,30,warner5906@coldmail.com,556 Stony Highlands, Drain, Illinois, 01973,0,none,0,engineer,101000
29,32,Antwan Villegas,1976-06-11,M,7,3.0,3,3.39,46.0,40,antwan_villegas3074@woohoo.com,P.O. Box 75909, Closter borough, Montana, 06529,3,data analyst,12,HR,80000
30,33,Madelene Poole,1978-11-25,F,6,13.0,7,6.93,44.0,40,madelene9077@inlook.com,797 Horse Terrace, Bonsall, Vermont, 93588,7,iOS developer,27,education,61000
31,34,Dion Donaldson,1947-02-21,M,3,15.0,4,9.69,76.0,70,dion_donaldson674@inlook.com,P.O. Box 99080, Horse Cave, Idaho, 68425,4,software engineering,25,software developer,110000
32,35,Gerry Moss,1993-03-01,F,3,5.0,3,3.91,30.0,30,moss3407@inlook.com,74 Broad Gate Hollow, Crystal Lakes, New York, 38056,3,data analyst,12,software developer,110000
33,36,Natalie Goff,1978-01-17,F,6,0.0,2,10.65,45.0,40,natalie2200@inlook.com,961 Squaw Crest, Bonner Springs, Nebraska, 76506,2,data engineer,20,education,61000
34,37,Ellis Leblanc,1998-10-19,M,2,8.0,9,22.62,24.0,20,leblanc1665@coldmail.com,185 Cloud Promenade, Montreal, Georgia, 62218,9,machine learning engineer,35,engineer,101000
35,38,Cristobal Kastelein,1981-04-29,M,4,10.0,10,9.31,42.0,40,cristobal6144@woohoo.com,328 NE Third Acres, North Madison, Colorado, 24053,10,ux/ui designer,15,creative,66000
36,39,Miki Darvill,1996-03-15,F,6,15.0,5,18.1,27.0,20,darvill7852@inlook.com,481 Silent Harbor, Topsfield, Montana, 60773,5,backend engineer,18,education,61000
37,40,Gregory Battle,1951-10-29,M,2,8.0,6,12.33,71.0,70,battle774@inlook.com,P.O. Box 40991, North Edwards, Vermont, 60792,6,frontend engineer,20,engineer,101000
38,41,Latisha Wermeskerken,1964-06-01,F,1,6.0,9,29.85,58.0,50,latisha_wermeskerken7346@inlook.com,924 Iron Turnpike, Mullin, California, 34730,9,machine learning engineer,35,analytics,86000
39,42,Lynwood Adenrock,1952-03-30,N,7,12.0,7,10.01,71.0,70,adenrock1157@inlook.com,P.O. Box 68680, Minnetonka, Texas, 54117,7,iOS developer,27,HR,80000
40,43,Lula Sanchez,1973-07-16,F,4,15.0,6,12.69,49.0,40,lula_sanchez1712@inlook.com,P.O. Box 13628, Moclips, Arizona, 43700,6,frontend engineer,20,creative,66000
41,44,Cori Castillo,2000-11-13,F,1,14.0,8,16.6,22.0,20,cori_castillo5326@woohoo.com,357 Iron Anchor Row, Sunny Isles Beach, Texas, 67082,8,android developer,27,analytics,86000
42,45,Refugio van Deijl,1982-10-14,M,7,14.0,5,6.87,40.0,40,vandeijl2146@hmail.com,314 Indian Willow Causeway, Marion Center, Maine, 17322,5,backend engineer,18,HR,80000
43,46,Janett Fleming,1973-10-25,F,2,6.0,3,12.11,49.0,40,janett1893@hmail.com,91 Velvet Road, South Venice, Virginia, 40051,3,data analyst,12,engineer,101000
44,47,Malcom van der Voort,1990-02-08,M,4,12.0,6,16.88,33.0,30,malcom_vandervoort4818@hmail.com,507 Fifth Dam, Medora, Arkansas, 01123,6,frontend engineer,20,creative,66000
45,48,Malcolm van Selm,1949-10-05,M,2,7.0,3,6.62,73.0,70,vanselm1682@inlook.com,P.O. Box 37496, Boulder Flats, Arkansas, 01797,3,data analyst,12,engineer,101000
46,49,Adan Claes,1989-08-18,M,2,12.0,6,11.08,33.0,30,adan_claes2609@hmail.com,232 Blue Oak, Ropesville, North Carolina, 94231,6,frontend engineer,20,engineer,101000
47,50,Antony Horne,1996-05-29,M,3,2.0,0,0.0,26.0,20,antony577@coldmail.com,P.O. Box 78685, Lenox, Texas, 15516,0,none,0,software developer,110000
48,51,Valorie Rijnberk,1986-09-06,N,1,13.0,1,15.83,36.0,30,valorie9955@woohoo.com,421 Iron End Motorway, Moline Acres, Florida, 75485,1,data scientist,20,analytics,86000
49,53,Ted Groot,1950-06-06,N,2,11.0,4,19.73,72.0,70,ted_groot7898@woohoo.com,P.O. Box 14285, Haworth borough, Oklahoma, 66701,4,software engineering,25,engineer,101000
50,54,Lannie Frazier,1987-12-23,F,3,2.0,1,4.76,35.0,30,frazier8553@coldmail.com,769 Green Edge, Ocean Beach village, South Carolina, 63560,1,data scientist,20,software developer,110000
51,55,Omar Bunk,1955-11-08,M,3,14.0,0,0.0,67.0,60,omar1245@coldmail.com,445 Dale Hollow, Vermont village, South Carolina, 28329,0,none,0,software developer,110000
52,56,Lincoln Hartman,1950-07-15,M,5,8.0,0,0.0,72.0,70,hartman6763@hmail.com,P.O. Box 22581, Southmont borough, West Virginia, 03735,0,none,0,financial services,135000
53,57,Alix Carr,1942-08-31,F,2,6.0,8,18.44,80.0,80,alix_carr662@coldmail.com,P.O. Box 72886, Hollansburg village, Nevada, 65255,8,android developer,27,engineer,101000
54,58,Emerita Kirkland,1966-07-15,F,3,10.0,1,14.49,56.0,50,emerita_kirkland1248@woohoo.com,261 Colonial River Vista, South Salt Lake, South Carolina, 40126,1,data scientist,20,software developer,110000
55,59,Tyron van Riemsdijk,2002-07-29,M,8,12.0,8,6.17,20.0,20,tyron_vanriemsdijk3532@coldmail.com,899 E Orchard, Estelline, Wyoming, 05477,8,android developer,27,student,10000
56,60,Clarence Wintershoven,1949-09-06,M,1,14.0,7,1.23,73.0,70,clarence1614@inlook.com,525 Butterfly Dell, Royal Pines, Utah, 89730,7,iOS developer,27,analytics,86000
57,61,Jule Schermerts,1981-03-14,F,6,0.0,3,7.95,42.0,40,jule_schermerts6057@inlook.com,602 Heather Bay, Hazelwood, Georgia, 18705,3,data analyst,12,education,61000
58,62,Luanna Oliver,1993-09-13,F,5,1.0,2,6.37,29.0,20,luanna468@inlook.com,904 Lost Goose Parade, Neligh, Kentucky, 00054,2,data engineer,20,financial services,135000
59,63,Zana Willems,1953-11-23,F,2,2.0,0,0.0,69.0,60,willems4043@woohoo.com,319 Iron Treasure, Thermalito, Virginia, 15241,0,none,0,engineer,101000
60,64,Karl Foreman,1952-01-30,M,4,13.0,7,20.29,71.0,70,karl_foreman3121@coldmail.com,748 Blue Alley, Warwick, Michigan, 71021,7,iOS developer,27,creative,66000
